contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
APHA210618C00018000,2021-04-26 18:12:39,109.0,18.0,0.95,1.07,1.05,call,2021-06-18,0.14520547945205478,0.9296875
APHA210618C00019000,2021-04-26 17:09:31,21.0,19.0,0.8,0.92,0.86,call,2021-06-18,0.14520547945205478,0.9375
APHA210618C00020000,2021-04-26 19:13:52,53.0,20.0,0.66,0.71,0.69,call,2021-06-18,0.14520547945205478,0.9453125
APHA210618C00021000,2021-04-26 19:54:36,12.0,21.0,0.57,0.64,0.64,call,2021-06-18,0.14520547945205478,1.015625
APHA210618C00025000,2021-04-26 18:09:37,3.0,25.0,0.31,0.35,0.35,call,2021-06-18,0.14520547945205478,1.0703125
APHA210618C00030000,2021-04-26 18:54:35,17.0,30.0,0.15,0.27,0.2,call,2021-06-18,0.14520547945205478,1.140625
APHA210618P00010000,2021-04-26 17:32:20,155.0,10.0,0.15,0.34,0.25,put,2021-06-18,0.14520547945205478,0.875
APHA210618P00011000,2021-04-21 14:10:42,2.0,11.0,0.32,0.5,0.92,put,2021-06-18,0.14520547945205478,1.203125
APHA210618P00012000,2021-04-26 18:13:07,5.0,12.0,0.59,0.79,0.74,put,2021-06-18,0.14520547945205478,0.890625
APHA210618P00013000,2021-04-23 16:58:21,10.0,13.0,0.96,1.12,1.08,put,2021-06-18,0.14520547945205478,0.875
APHA210618P00014000,2021-04-23 14:55:27,3.0,14.0,1.4,1.64,1.96,put,2021-06-18,0.14520547945205478,1.0703125
APHA210618P00015000,2021-04-26 19:10:59,5.0,15.0,2.01,2.29,2.15,put,2021-06-18,0.14520547945205478,0.9140625
APHA210618P00016000,2021-04-26 19:02:04,1.0,16.0,2.65,3.0,2.83,put,2021-06-18,0.14520547945205478,0.921875
APHA210618P00017000,2021-04-26 18:56:48,2.0,17.0,3.4,3.65,3.57,put,2021-06-18,0.14520547945205478,0.9609375
APHA210618P00018000,2021-04-26 19:58:55,2.0,18.0,4.15,4.5,4.34,put,2021-06-18,0.14520547945205478,0.9765625
APHA210618P00019000,2021-04-22 16:38:29,,19.0,4.95,5.35,5.82,put,2021-06-18,0.14520547945205478,1.3125
APHA210618P00020000,2021-04-23 18:28:53,5.0,20.0,5.8,6.2,6.36,put,2021-06-18,0.14520547945205478,1.171875
APHA210618P00021000,2021-04-23 15:38:13,7.0,21.0,6.8,7.1,7.3,put,2021-06-18,0.14520547945205478,1.234375
APHA210618P00025000,2021-04-21 14:19:53,,25.0,10.45,10.9,12.21,put,2021-06-18,0.14520547945205478,1.9609375
APHA210716C00005000,2021-04-26 19:51:53,1.0,5.0,8.9,10.6,9.65,call,2021-07-16,0.2219178082191781,
APHA210716C00006000,2021-04-16 15:33:38,2.0,6.0,8.45,8.95,8.0,call,2021-07-16,0.2219178082191781,
APHA210716C00007000,2021-04-23 15:15:28,2.0,7.0,7.5,8.0,7.0,call,2021-07-16,0.2219178082191781,
APHA210716C00008000,2021-04-26 19:05:56,25.0,8.0,6.65,7.15,6.75,call,2021-07-16,0.2219178082191781,
APHA210716C00009000,2021-04-23 16:29:58,1.0,9.0,5.8,6.25,5.4,call,2021-07-16,0.2219178082191781,
APHA210716C00010000,2021-04-26 19:23:48,37.0,10.0,4.95,5.3,5.15,call,2021-07-16,0.2219178082191781,0.796875
APHA210716C00011000,2021-04-26 19:59:04,15.0,11.0,4.25,4.6,4.45,call,2021-07-16,0.2219178082191781,0.828125
APHA210716C00012000,2021-04-26 17:23:51,12.0,12.0,3.6,4.0,3.71,call,2021-07-16,0.2219178082191781,0.8046875
APHA210716C00013000,2021-04-26 13:30:00,5.0,13.0,3.05,3.35,2.94,call,2021-07-16,0.2219178082191781,0.734375
APHA210716C00014000,2021-04-26 19:55:45,173.0,14.0,2.65,2.83,2.69,call,2021-07-16,0.2219178082191781,0.8359375
APHA210716C00015000,2021-04-26 19:11:15,15.0,15.0,2.18,2.31,2.15,call,2021-07-16,0.2219178082191781,0.8125
APHA210716C00016000,2021-04-26 19:17:23,29.0,16.0,1.81,2.11,1.93,call,2021-07-16,0.2219178082191781,0.8515625
APHA210716C00017000,2021-04-26 19:57:05,63.0,17.0,1.61,1.7,1.64,call,2021-07-16,0.2219178082191781,0.8671875
APHA210716C00018000,2021-04-23 19:04:03,12.0,18.0,1.33,1.62,1.49,call,2021-07-16,0.2219178082191781,0.9296875
APHA210716C00019000,2021-04-26 18:15:41,17.0,19.0,1.22,1.33,1.22,call,2021-07-16,0.2219178082191781,0.8984375
APHA210716C00020000,2021-04-26 19:29:40,64.0,20.0,1.08,1.16,1.11,call,2021-07-16,0.2219178082191781,0.9296875
APHA210716C00021000,2021-04-26 19:33:30,5.0,21.0,0.94,1.1,0.98,call,2021-07-16,0.2219178082191781,0.953125
APHA210716C00022000,2021-04-26 18:11:49,77.0,22.0,0.8,0.9,0.88,call,2021-07-16,0.2219178082191781,0.984375
APHA210716C00023000,2021-04-26 19:05:08,6.0,23.0,0.7,0.9,0.81,call,2021-07-16,0.2219178082191781,1.015625
APHA210716C00024000,2021-04-26 19:57:01,15.0,24.0,0.63,0.8,0.7,call,2021-07-16,0.2219178082191781,1.0
APHA210716C00029000,2021-04-21 17:50:14,60.0,29.0,0.39,0.53,0.4,call,2021-07-16,0.2219178082191781,1.0703125
APHA210716C00030000,2021-04-26 15:56:22,62.0,30.0,0.39,0.44,0.4,call,2021-07-16,0.2219178082191781,1.109375
APHA210716C00031000,2021-04-21 14:23:19,1.0,31.0,0.28,0.4,0.37,call,2021-07-16,0.2219178082191781,1.109375
APHA210716C00032000,2021-04-19 18:28:56,2.0,32.0,0.25,0.36,0.48,call,2021-07-16,0.2219178082191781,1.2265625
APHA210716C00033000,2021-04-21 15:12:18,1.0,33.0,0.23,0.46,0.31,call,2021-07-16,0.2219178082191781,1.109375
APHA210716C00034000,2021-04-19 19:12:28,1.0,34.0,0.21,0.44,0.48,call,2021-07-16,0.2219178082191781,1.28125
APHA210716C00035000,2021-04-22 19:06:51,26.0,35.0,0.21,0.3,0.35,call,2021-07-16,0.2219178082191781,1.203125
APHA210716C00036000,2021-04-23 18:46:03,10.0,36.0,0.18,0.4,0.21,call,2021-07-16,0.2219178082191781,1.109375
APHA210716C00037000,2021-04-16 13:50:58,10.0,37.0,0.18,0.38,0.33,call,2021-07-16,0.2219178082191781,1.234375
APHA210716C00038000,2021-04-01 14:57:42,1.0,38.0,0.18,0.38,1.46,call,2021-07-16,0.2219178082191781,1.875
APHA210716C00039000,2021-03-29 13:30:01,1.0,39.0,0.18,0.37,1.35,call,2021-07-16,0.2219178082191781,1.8515625
APHA210716C00040000,2021-04-26 18:21:17,2.0,40.0,0.2,0.25,0.2,call,2021-07-16,0.2219178082191781,1.203125
APHA210716C00041000,2021-04-13 18:11:44,1.0,41.0,0.11,0.31,0.33,call,2021-07-16,0.2219178082191781,1.328125
